CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,Gender,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlans,Housing,ExistingCredits,Job,Dependents,Telephone,ForeignWorker,DEFAULT
0 - 200,27,Delay in paying,Furniture/equipment,967,500 - 1000,4 - 7,2,Male,No,3,Real estate,31,Stores,Own,1,Unemployed,2,1,0,1
> 200,28,Existing paid,Business,11926,< 100,< 1,4,Female,No,1,Car or other,33,No,For free,1,Unemployed,2,0,0,1
> 200,55,Existing paid,Radio/television,4684,< 100,4 - 7,1,Female,No,4,Unknown/None,60,Stores,Rent,4,Unemployed,2,1,1,1
No,36,Critical account,Repairs,17292,> 1000,Unemployed,3,Female,Co-applicant,3,Savings agreement/life insurance,69,No,For free,2,Highly skilled,2,0,0,0
No,52,Existing paid,Education,5307,> 1000,> 7,2,Male,Co-applicant,3,Real estate,26,No,Own,2,Unskilled,1,1,0,1
0 - 200,32,All paid,Business,5244,500 - 1000,< 1,2,Male,Co-applicant,4,Real estate,27,No,For free,1,Unskilled,1,1,0,1
No,66,All paid,Radio/television,4484,500 - 1000,4 - 7,2,Male,Guarantor,2,Unknown/None,34,Bank,Rent,1,Highly skilled,1,0,0,1
< 0,25,No credits/all paid,Repairs,4014,Unknown/None,< 1,1,Male,Guarantor,4,Car or other,29,No,For free,4,Unskilled,1,1,0,0
No,29,All paid,Others,11431,100 - 500,> 7,1,Female,No,1,Real estate,23,Stores,Own,1,Unskilled,1,1,0,0
No,31,Existing paid,Car (new),4887,500 - 1000,4 - 7,1,Male,Co-applicant,4,Car or other,36,Bank,Rent,4,Highly skilled,1,0,0,1
< 0,52,All paid,Vacation,2354,> 1000,4 - 7,3,Male,Guarantor,2,Unknown/None,60,Bank,Own,2,Unemployed,2,0,0,0
0 - 200,52,Critical account,Education,9697,500 - 1000,< 1,1,Male,Co-applicant,4,Savings agreement/life insurance,58,Bank,For free,2,Highly skilled,1,0,1,1
< 0,23,No credits/all paid,Others,10924,< 100,< 1,3,Female,Guarantor,2,Real estate,70,Bank,Own,4,Unemployed,1,0,1,1
No,66,Existing paid,Others,8635,100 - 500,Unemployed,2,Female,Guarantor,2,Car or other,46,Bank,For free,1,Unemployed,1,0,0,1
0 - 200,64,No credits/all paid,Retraining,12249,Unknown/None,> 7,2,Male,No,1,Real estate,23,Bank,Rent,2,Unskilled,2,0,1,1
No,52,Existing paid,Furniture/equipment,3969,< 100,Unemployed,4,Female,No,4,Car or other,42,Bank,Own,3,Unskilled,1,1,1,0
< 0,4,Critical account,Car (used),2831,< 100,4 - 7,1,Female,Guarantor,4,Car or other,74,No,Own,4,Unemployed,1,1,1,1
< 0,16,No credits/all paid,Car (new),3013,100 - 500,< 1,2,Female,No,1,Car or other,41,Stores,For free,2,Unemployed,1,1,1,1
No,54,Delay in paying,Furniture/equipment,6241,Unknown/None,4 - 7,1,Female,Guarantor,2,Unknown/None,42,Stores,Own,2,Unskilled,2,0,1,0
> 200,59,Existing paid,Domestic appliances,10781,> 1000,4 - 7,3,Female,Guarantor,4,Savings agreement/life insurance,33,No,Own,2,Skilled,1,0,1,1
> 200,65,Delay in paying,Others,11314,Unknown/None,1 - 4,2,Male,Co-applicant,1,Real estate,69,No,Rent,3,Unemployed,1,1,0,1
< 0,35,No credits/all paid,Car (used),11562,500 - 1000,1 - 4,1,Male,No,2,Savings agreement/life insurance,33,Bank,For free,3,Unemployed,2,1,0,1
< 0,33,Delay in paying,Furniture/equipment,5030,< 100,4 - 7,2,Male,No,1,Car or other,23,Bank,For free,3,Unemployed,1,0,1,1
> 200,32,Delay in paying,Radio/television,4427,500 - 1000,< 1,2,Female,No,4,Car or other,54,No,Rent,1,Unskilled,2,1,0,1
> 200,52,No credits/all paid,Education,15419,> 1000,4 - 7,1,Female,Co-applicant,1,Savings agreement/life insurance,38,Bank,Rent,4,Highly skilled,1,0,1,0
No,48,Critical account,Furniture/equipment,6726,500 - 1000,1 - 4,2,Female,Co-applicant,3,Savings agreement/life insurance,21,Stores,For free,1,Unemployed,2,0,0,1
No,33,Delay in paying,Retraining,2632,Unknown/None,< 1,2,Female,Co-applicant,2,Real estate,51,Stores,Rent,3,Unemployed,1,1,0,1
> 200,19,Delay in paying,Vacation,17165,500 - 1000,4 - 7,2,Male,No,3,Car or other,45,Bank,Rent,4,Unemployed,1,0,0,1
No,43,Critical account,Radio/television,12758,> 1000,> 7,2,Male,No,3,Savings agreement/life insurance,55,Bank,Rent,1,Highly skilled,2,0,1,1
No,22,Delay in paying,Car (new),884,> 1000,> 7,3,Male,No,2,Unknown/None,58,Bank,For free,1,Highly skilled,1,0,0,1
0 - 200,21,Delay in paying,Car (new),12246,> 1000,4 - 7,2,Male,Co-applicant,2,Car or other,45,Stores,Rent,1,Unemployed,1,0,0,0
No,4,Delay in paying,Car (new),14412,Unknown/None,< 1,4,Male,Co-applicant,1,Car or other,34,Bank,Own,3,Unemployed,2,1,1,0
< 0,50,All paid,Car (new),16636,> 1000,4 - 7,2,Male,Guarantor,2,Real estate,31,No,Own,2,Skilled,1,0,1,1
No,69,Critical account,Vacation,14255,< 100,4 - 7,1,Female,Co-applicant,3,Unknown/None,24,Bank,For free,4,Highly skilled,2,0,0,1
No,41,Delay in paying,Furniture/equipment,8647,> 1000,1 - 4,4,Female,Guarantor,3,Real estate,39,No,Rent,3,Skilled,1,1,1,1
> 200,54,Critical account,Repairs,12577,500 - 1000,> 7,3,Male,No,4,Unknown/None,68,Bank,Own,4,Unemployed,2,0,0,1
< 0,66,Existing paid,Furniture/equipment,14644,500 - 1000,1 - 4,4,Female,Co-applicant,2,Real estate,18,Bank,For free,3,Unemployed,1,0,0,1
No,7,Existing paid,Others,3140,500 - 1000,1 - 4,4,Male,No,3,Unknown/None,46,Stores,Own,1,Unemployed,1,1,1,0
No,4,Delay in paying,Domestic appliances,11108,Unknown/None,4 - 7,4,Male,No,4,Unknown/None,69,No,Rent,1,Unemployed,2,1,1,1
0 - 200,11,Critical account,Education,8276,500 - 1000,1 - 4,1,Female,No,4,Unknown/None,48,No,For free,2,Unskilled,1,0,0,0
No,32,Critical account,Car (used),3556,Unknown/None,> 7,1,Male,No,1,Savings agreement/life insurance,47,No,Own,2,Unskilled,2,0,1,1
No,58,Critical account,Repairs,1147,Unknown/None,1 - 4,1,Male,Co-applicant,3,Car or other,74,Stores,For free,4,Unskilled,2,1,0,1
0 - 200,6,All paid,Repairs,9527,> 1000,> 7,3,Male,No,1,Unknown/None,32,No,Own,2,Skilled,2,0,1,0
> 200,35,Existing paid,Others,9721,< 100,1 - 4,1,Female,Guarantor,3,Savings agreement/life insurance,35,Stores,Own,2,Highly skilled,1,0,1,1
No,13,Critical account,Furniture/equipment,15146,> 1000,> 7,1,Female,Co-applicant,1,Savings agreement/life insurance,52,Bank,Rent,4,Unemployed,1,0,1,1
0 - 200,37,Critical account,Repairs,15490,> 1000,1 - 4,4,Female,No,1,Real estate,67,Bank,Rent,3,Highly skilled,1,1,1,1
< 0,58,All paid,Business,14933,Unknown/None,1 - 4,1,Female,Co-applicant,2,Car or other,47,No,Own,2,Unskilled,2,0,1,1
> 200,35,All paid,Business,920,Unknown/None,< 1,2,Male,Guarantor,1,Car or other,51,Bank,For free,3,Unemployed,2,1,0,1
< 0,53,Critical account,Domestic appliances,12017,500 - 1000,> 7,1,Female,No,2,Real estate,59,Bank,For free,1,Unemployed,2,1,0,1
< 0,10,No credits/all paid,Car (used),13256,500 - 1000,> 7,3,Female,Guarantor,4,Car or other,28,No,Rent,2,Skilled,1,1,0,1
0 - 200,11,Critical account,Retraining,16018,> 1000,> 7,3,Female,No,3,Real estate,44,Bank,Own,1,Highly skilled,2,1,1,1
No,68,Critical account,Vacation,16883,100 - 500,Unemployed,2,Male,Guarantor,4,Savings agreement/life insurance,41,No,Rent,1,Skilled,1,0,0,1
0 - 200,60,All paid,Furniture/equipment,2142,100 - 500,1 - 4,3,Female,No,3,Savings agreement/life insurance,52,No,Own,3,Unskilled,1,1,0,1
0 - 200,70,All paid,Vacation,3689,500 - 1000,> 7,3,Female,Co-applicant,4,Unknown/None,56,Bank,Own,4,Highly skilled,1,0,1,1
0 - 200,62,Critical account,Retraining,3104,100 - 500,Unemployed,4,Male,No,3,Real estate,25,Bank,Rent,2,Unskilled,1,1,1,1
0 - 200,57,Critical account,Furniture/equipment,11827,500 - 1000,< 1,2,Male,Co-applicant,1,Savings agreement/life insurance,68,Bank,For free,3,Skilled,1,1,1,1
> 200,70,Critical account,Furniture/equipment,12013,Unknown/None,> 7,4,Male,No,3,Savings agreement/life insurance,35,Bank,Rent,4,Skilled,1,0,0,1
No,54,All paid,Car (used),11868,> 1000,> 7,4,Male,No,3,Real estate,30,Bank,Own,1,Unemployed,1,1,0,1
< 0,11,Critical account,Vacation,8485,< 100,Unemployed,1,Female,Guarantor,4,Savings agreement/life insurance,62,Stores,Rent,2,Highly skilled,1,1,1,1
< 0,37,Critical account,Business,2868,> 1000,1 - 4,2,Male,Guarantor,4,Car or other,41,Bank,For free,1,Highly skilled,2,0,0,1
No,38,Delay in paying,Car (new),3413,500 - 1000,< 1,1,Female,Guarantor,4,Savings agreement/life insurance,68,Stores,For free,1,Unemployed,1,1,0,1
< 0,35,No credits/all paid,Vacation,3192,500 - 1000,> 7,1,Female,No,2,Real estate,40,No,Own,2,Highly skilled,1,1,1,1
No,49,Existing paid,Education,2175,> 1000,1 - 4,4,Female,No,2,Car or other,29,Bank,Rent,4,Unskilled,2,1,0,1
< 0,19,No credits/all paid,Education,3222,500 - 1000,< 1,3,Female,No,3,Car or other,66,Bank,For free,4,Unskilled,2,0,1,1
0 - 200,71,Delay in paying,Furniture/equipment,11955,100 - 500,4 - 7,2,Female,Co-applicant,3,Savings agreement/life insurance,47,Bank,Rent,2,Skilled,2,1,0,1
< 0,40,Existing paid,Car (new),10890,100 - 500,4 - 7,3,Male,Co-applicant,1,Unknown/None,48,No,For free,2,Unskilled,2,0,1,1
No,57,Critical account,Radio/television,11216,500 - 1000,< 1,4,Female,No,1,Car or other,45,Stores,Own,3,Highly skilled,1,0,0,1
No,17,Delay in paying,Retraining,17624,500 - 1000,Unemployed,4,Female,Guarantor,3,Real estate,39,Stores,Own,3,Unemployed,2,0,0,1
No,58,Critical account,Domestic appliances,11388,100 - 500,< 1,4,Female,Guarantor,2,Unknown/None,61,Bank,Rent,1,Skilled,2,1,1,0
No,51,All paid,Car (new),16185,500 - 1000,< 1,4,Male,Guarantor,3,Unknown/None,45,Bank,Own,2,Unemployed,2,1,1,1
No,10,Delay in paying,Domestic appliances,13395,500 - 1000,Unemployed,4,Female,No,1,Car or other,30,Bank,For free,4,Skilled,2,1,1,1
> 200,10,All paid,Vacation,739,> 1000,Unemployed,4,Female,Guarantor,2,Savings agreement/life insurance,42,Bank,Own,1,Skilled,1,1,1,0
> 200,36,Delay in paying,Vacation,11998,< 100,1 - 4,3,Male,No,2,Unknown/None,61,No,For free,1,Unemployed,2,0,0,1
< 0,26,Delay in paying,Domestic appliances,3766,100 - 500,1 - 4,1,Female,Co-applicant,1,Savings agreement/life insurance,68,Bank,For free,1,Unskilled,2,0,1,1
No,22,All paid,Retraining,6660,> 1000,Unemployed,3,Female,Guarantor,3,Car or other,63,No,Own,1,Unskilled,2,1,1,1
< 0,22,Existing paid,Car (new),303,< 100,4 - 7,2,Male,Co-applicant,4,Real estate,24,Bank,For free,4,Unskilled,2,1,1,0
No,39,No credits/all paid,Radio/television,17249,500 - 1000,4 - 7,3,Female,Guarantor,3,Unknown/None,62,Stores,For free,1,Unskilled,1,0,1,0
No,32,Critical account,Furniture/equipment,6194,500 - 1000,< 1,4,Female,No,3,Real estate,23,Stores,Rent,2,Unemployed,2,1,1,0
> 200,63,Delay in paying,Car (used),7654,> 1000,> 7,3,Female,No,1,Savings agreement/life insurance,41,Bank,Rent,3,Highly skilled,2,1,0,0
> 200,5,Critical account,Vacation,1204,500 - 1000,< 1,1,Female,No,2,Savings agreement/life insurance,36,Bank,Rent,4,Skilled,2,1,1,0
0 - 200,4,All paid,Education,10875,Unknown/None,< 1,2,Female,No,1,Real estate,36,No,Own,2,Unemployed,1,1,1,0
> 200,50,Critical account,Retraining,1879,> 1000,> 7,3,Male,Guarantor,3,Car or other,53,Bank,Rent,2,Unskilled,2,1,1,1
0 - 200,23,All paid,Car (used),11223,< 100,Unemployed,1,Male,Co-applicant,4,Car or other,68,Bank,For free,2,Unskilled,2,1,0,1
0 - 200,14,Critical account,Radio/television,7109,> 1000,4 - 7,3,Male,No,4,Unknown/None,26,Bank,Own,3,Unemployed,1,0,0,1
0 - 200,5,No credits/all paid,Repairs,9091,100 - 500,< 1,2,Female,Guarantor,4,Unknown/None,65,Stores,Own,3,Skilled,2,0,0,0
0 - 200,70,No credits/all paid,Others,10789,> 1000,> 7,3,Female,Co-applicant,1,Car or other,53,No,Own,3,Unemployed,1,0,1,1
0 - 200,15,No credits/all paid,Furniture/equipment,12932,500 - 1000,1 - 4,4,Female,No,2,Car or other,55,Stores,Own,2,Unemployed,1,0,1,0
< 0,23,No credits/all paid,Vacation,3528,500 - 1000,< 1,3,Male,Co-applicant,1,Real estate,57,No,For free,3,Highly skilled,2,1,0,1
> 200,8,No credits/all paid,Furniture/equipment,6789,Unknown/None,4 - 7,1,Female,No,4,Savings agreement/life insurance,46,Stores,For free,1,Unemployed,2,1,0,0
0 - 200,40,No credits/all paid,Car (used),17004,Unknown/None,Unemployed,3,Female,Co-applicant,3,Savings agreement/life insurance,41,Bank,Rent,3,Highly skilled,1,0,1,1
No,41,All paid,Furniture/equipment,1107,Unknown/None,< 1,1,Female,Co-applicant,2,Unknown/None,65,Stores,Own,4,Skilled,1,0,1,1
> 200,12,Delay in paying,Others,5136,< 100,< 1,2,Male,No,1,Car or other,22,Stores,Rent,2,Unemployed,2,0,1,1
> 200,56,Critical account,Repairs,13195,Unknown/None,> 7,3,Male,Guarantor,1,Real estate,70,No,For free,2,Unemployed,1,0,0,1
0 - 200,47,No credits/all paid,Car (used),7735,< 100,1 - 4,2,Female,Co-applicant,2,Unknown/None,71,No,Own,1,Unskilled,1,0,1,1
< 0,27,All paid,Vacation,13930,Unknown/None,1 - 4,2,Female,No,2,Real estate,59,Stores,For free,3,Unemployed,2,1,1,1
0 - 200,33,All paid,Car (new),17017,< 100,Unemployed,3,Female,Co-applicant,3,Car or other,72,No,Rent,3,Unskilled,1,1,0,1
< 0,62,All paid,Education,14647,> 1000,4 - 7,1,Male,Co-applicant,2,Car or other,62,No,For free,4,Unskilled,1,0,0,1
No,17,Delay in paying,Car (used),10994,> 1000,Unemployed,2,Male,Guarantor,3,Car or other,43,No,Own,1,Unskilled,1,0,0,0
> 200,12,Critical account,Business,4584,500 - 1000,< 1,2,Male,Co-applicant,4,Savings agreement/life insurance,31,No,Own,4,Skilled,1,1,1,1
No,43,Delay in paying,Repairs,12476,< 100,< 1,3,Female,Co-applicant,4,Car or other,56,No,Rent,4,Highly skilled,1,1,0,1
< 0,69,Existing paid,Car (used),13690,100 - 500,1 - 4,3,Male,No,1,Unknown/None,46,Stores,Own,2,Unskilled,1,1,0,1
< 0,28,All paid,Car (used),15270,500 - 1000,4 - 7,3,Female,No,4,Savings agreement/life insurance,69,No,For free,2,Unemployed,2,0,1,1
No,25,Existing paid,Business,4501,> 1000,> 7,3,Female,Guarantor,4,Real estate,23,Bank,For free,3,Unemployed,1,1,1,1
< 0,7,No credits/all paid,Vacation,12430,< 100,4 - 7,3,Male,Co-applicant,3,Unknown/None,24,Stores,For free,3,Unskilled,2,0,0,1
No,29,No credits/all paid,Car (used),16390,Unknown/None,< 1,4,Female,Co-applicant,1,Unknown/None,54,Stores,For free,4,Unskilled,2,0,1,1
> 200,61,Delay in paying,Education,1172,100 - 500,> 7,3,Male,Co-applicant,2,Real estate,70,Stores,Rent,3,Unemployed,2,1,0,1
No,32,Critical account,Furniture/equipment,8207,> 1000,4 - 7,1,Female,Guarantor,1,Savings agreement/life insurance,35,No,For free,4,Unskilled,2,1,1,1
> 200,40,Existing paid,Vacation,16046,500 - 1000,4 - 7,2,Female,Co-applicant,4,Unknown/None,40,Bank,Rent,3,Highly skilled,2,1,1,1
No,21,Critical account,Education,1480,< 100,> 7,1,Male,No,2,Unknown/None,61,No,For free,3,Highly skilled,2,0,0,1
< 0,45,Delay in paying,Vacation,10877,100 - 500,< 1,1,Female,Guarantor,1,Unknown/None,55,Stores,Rent,2,Skilled,2,1,0,1
No,44,No credits/all paid,Education,10256,< 100,4 - 7,4,Female,No,1,Savings agreement/life insurance,18,Stores,For free,2,Unskilled,2,1,0,1
< 0,41,Critical account,Others,5183,Unknown/None,> 7,3,Female,No,1,Savings agreement/life insurance,21,Stores,For free,2,Skilled,1,0,1,1
No,37,Critical account,Repairs,14545,500 - 1000,< 1,2,Female,Guarantor,1,Savings agreement/life insurance,68,Stores,Rent,2,Skilled,2,1,0,0
No,20,No credits/all paid,Education,16627,< 100,> 7,1,Female,No,3,Unknown/None,61,No,Own,1,Skilled,2,1,1,1
0 - 200,40,Existing paid,Domestic appliances,453,> 1000,> 7,3,Female,Co-applicant,1,Car or other,64,Bank,Own,2,Unskilled,2,0,1,0
< 0,28,No credits/all paid,Education,16794,500 - 1000,4 - 7,3,Female,Guarantor,4,Real estate,52,Bank,Own,1,Skilled,1,0,0,1
0 - 200,30,Critical account,Car (new),16149,> 1000,< 1,4,Female,No,4,Car or other,40,Stores,Rent,2,Highly skilled,2,0,1,1
< 0,60,Existing paid,Car (new),3998,< 100,4 - 7,4,Male,Co-applicant,3,Savings agreement/life insurance,44,Bank,Own,3,Skilled,1,0,1,1
0 - 200,34,Existing paid,Retraining,6968,500 - 1000,Unemployed,4,Male,Co-applicant,2,Unknown/None,43,Stores,Own,4,Highly skilled,2,0,0,1
> 200,9,No credits/all paid,Domestic appliances,1343,> 1000,Unemployed,2,Female,No,2,Unknown/None,69,Stores,Rent,3,Highly skilled,2,1,1,1
No,43,Critical account,Domestic appliances,15478,Unknown/None,< 1,1,Female,Co-applicant,4,Car or other,25,Bank,Own,3,Unskilled,1,1,1,1
< 0,15,Delay in paying,Furniture/equipment,16284,Unknown/None,> 7,4,Male,Guarantor,4,Car or other,60,Stores,Own,1,Skilled,2,0,0,1
< 0,56,Critical account,Domestic appliances,5960,< 100,4 - 7,4,Female,No,3,Real estate,33,Bank,Own,2,Unskilled,1,1,0,1
No,13,All paid,Furniture/equipment,9982,500 - 1000,4 - 7,4,Male,Co-applicant,2,Unknown/None,58,Stores,Rent,4,Highly skilled,1,1,1,1
< 0,48,Delay in paying,Retraining,3441,100 - 500,< 1,1,Male,Co-applicant,2,Car or other,20,Bank,Rent,4,Unemployed,2,0,1,1
< 0,20,Existing paid,Retraining,939,500 - 1000,< 1,1,Male,No,1,Real estate,49,Stores,Own,2,Skilled,2,0,1,1
0 - 200,29,Delay in paying,Repairs,2353,Unknown/None,Unemployed,4,Female,No,1,Savings agreement/life insurance,22,Bank,Own,1,Unskilled,1,0,1,1
< 0,65,Existing paid,Car (new),615,> 1000,1 - 4,4,Female,No,1,Car or other,37,Stores,Rent,1,Unemployed,1,1,0,1
> 200,49,Existing paid,Education,14260,100 - 500,< 1,3,Female,No,3,Savings agreement/life insurance,31,Stores,Own,1,Skilled,2,0,1,1
> 200,67,Delay in paying,Education,12017,< 100,1 - 4,4,Male,Guarantor,4,Real estate,49,Stores,Rent,4,Skilled,2,1,1,1
No,5,Existing paid,Business,16353,100 - 500,< 1,2,Male,No,3,Savings agreement/life insurance,43,Bank,Own,1,Unskilled,2,1,1,0
< 0,57,Existing paid,Business,12992,< 100,> 7,2,Male,Guarantor,2,Unknown/None,64,No,Rent,1,Unemployed,1,1,1,1
No,68,All paid,Radio/television,12641,100 - 500,> 7,4,Female,Guarantor,4,Unknown/None,23,Stores,For free,4,Unskilled,2,1,0,1
> 200,54,Critical account,Vacation,4422,< 100,Unemployed,1,Male,No,1,Savings agreement/life insurance,53,Stores,For free,4,Skilled,1,0,1,1
< 0,56,Critical account,Repairs,15873,< 100,Unemployed,3,Male,Guarantor,3,Unknown/None,57,Bank,Rent,3,Skilled,2,1,0,1
< 0,39,All paid,Radio/television,2628,100 - 500,1 - 4,1,Female,No,3,Real estate,68,Stores,For free,4,Highly skilled,1,0,0,1
No,29,Delay in paying,Radio/television,17839,100 - 500,< 1,4,Male,No,1,Unknown/None,22,Stores,Own,2,Skilled,1,1,0,1
> 200,32,No credits/all paid,Car (used),12281,< 100,4 - 7,2,Male,Co-applicant,3,Savings agreement/life insurance,30,Stores,Rent,4,Skilled,2,0,0,1
< 0,24,No credits/all paid,Car (used),5919,Unknown/None,Unemployed,3,Female,No,1,Savings agreement/life insurance,49,Stores,Rent,4,Unemployed,1,0,0,1
No,14,No credits/all paid,Radio/television,2985,100 - 500,4 - 7,1,Female,Co-applicant,2,Savings agreement/life insurance,33,No,Own,1,Unemployed,1,0,1,1
> 200,43,All paid,Domestic appliances,10117,500 - 1000,4 - 7,1,Male,Guarantor,4,Car or other,18,No,Own,3,Highly skilled,1,1,0,0
No,14,All paid,Vacation,8740,> 1000,< 1,4,Female,Co-applicant,2,Savings agreement/life insurance,30,Stores,Rent,1,Highly skilled,1,1,0,0
0 - 200,39,Existing paid,Repairs,1206,< 100,1 - 4,3,Male,Guarantor,2,Real estate,71,Stores,Own,3,Highly skilled,1,1,0,1
< 0,62,No credits/all paid,Radio/television,9556,< 100,< 1,2,Female,No,1,Unknown/None,28,Stores,Rent,1,Unskilled,2,0,1,1
0 - 200,42,Delay in paying,Others,6873,> 1000,Unemployed,4,Male,Guarantor,3,Unknown/None,70,No,Own,2,Unskilled,2,1,0,1
> 200,57,Delay in paying,Education,15158,Unknown/None,4 - 7,3,Female,Guarantor,2,Car or other,25,No,Rent,1,Highly skilled,1,1,1,1
0 - 200,58,No credits/all paid,Vacation,4710,> 1000,< 1,1,Male,No,2,Car or other,42,Bank,Own,1,Unskilled,2,1,0,1
0 - 200,27,No credits/all paid,Car (used),14236,100 - 500,< 1,4,Female,Guarantor,2,Real estate,57,Bank,Own,2,Skilled,1,0,0,1
> 200,25,No credits/all paid,Education,12888,> 1000,< 1,1,Female,No,3,Savings agreement/life insurance,49,Stores,For free,2,Highly skilled,1,1,1,1
No,59,All paid,Car (used),3100,< 100,Unemployed,1,Female,Co-applicant,3,Car or other,41,Stores,For free,4,Highly skilled,2,1,1,1
0 - 200,36,All paid,Car (used),13549,> 1000,1 - 4,4,Female,No,1,Unknown/None,45,No,For free,1,Unskilled,1,0,1,1
No,39,All paid,Vacation,10948,500 - 1000,< 1,4,Female,No,2,Car or other,31,Stores,Own,2,Unemployed,1,0,0,0
0 - 200,23,Critical account,Car (used),4844,100 - 500,Unemployed,4,Female,Guarantor,4,Car or other,62,Stores,Rent,2,Highly skilled,1,0,1,1
No,65,Delay in paying,Others,14532,> 1000,4 - 7,4,Female,Co-applicant,3,Savings agreement/life insurance,20,No,Own,4,Unskilled,2,0,1,1
> 200,29,Delay in paying,Retraining,16535,< 100,> 7,4,Male,No,1,Car or other,53,No,For free,3,Unskilled,2,0,1,1
0 - 200,69,Existing paid,Car (new),14584,100 - 500,Unemployed,1,Male,Co-applicant,2,Real estate,44,No,Own,2,Unemployed,1,0,1,1
> 200,43,All paid,Retraining,6894,< 100,> 7,2,Female,Co-applicant,4,Unknown/None,37,No,For free,2,Highly skilled,1,1,1,1
0 - 200,20,Critical account,Car (new),3100,Unknown/None,< 1,2,Female,Guarantor,3,Savings agreement/life insurance,64,Bank,For free,1,Unemployed,1,1,0,1
> 200,4,Critical account,Business,15183,500 - 1000,< 1,4,Male,No,4,Unknown/None,32,No,Rent,4,Skilled,1,0,1,1
> 200,64,Delay in paying,Business,415,Unknown/None,Unemployed,1,Male,Guarantor,3,Real estate,44,No,Rent,1,Unemployed,1,1,0,1
0 - 200,46,All paid,Car (used),10951,500 - 1000,> 7,2,Female,No,1,Real estate,70,Stores,For free,3,Unemployed,2,0,1,1
0 - 200,45,Existing paid,Repairs,1169,> 1000,< 1,2,Male,Co-applicant,4,Car or other,62,Stores,For free,4,Unskilled,2,1,1,1
0 - 200,28,All paid,Repairs,8555,100 - 500,4 - 7,2,Male,No,2,Car or other,58,Stores,Own,1,Unemployed,2,0,0,1
< 0,42,No credits/all paid,Car (new),17625,> 1000,1 - 4,1,Female,No,2,Car or other,45,Bank,For free,2,Skilled,2,0,0,1
No,38,All paid,Education,15965,500 - 1000,1 - 4,4,Female,Co-applicant,3,Unknown/None,42,No,Own,2,Unskilled,1,1,0,1
< 0,6,No credits/all paid,Vacation,4089,500 - 1000,< 1,4,Female,Co-applicant,2,Real estate,59,No,For free,4,Skilled,1,1,0,1
< 0,47,No credits/all paid,Car (used),17892,500 - 1000,> 7,4,Male,No,4,Savings agreement/life insurance,61,Bank,Rent,2,Unemployed,2,1,1,0
> 200,54,Existing paid,Vacation,11868,< 100,< 1,3,Female,Guarantor,1,Car or other,63,No,Rent,1,Skilled,2,1,0,1
0 - 200,15,Delay in paying,Retraining,13769,100 - 500,> 7,3,Female,No,3,Unknown/None,50,Stores,For free,4,Skilled,1,1,1,1
No,22,All paid,Repairs,11026,> 1000,4 - 7,3,Male,Co-applicant,4,Car or other,63,Bank,Own,2,Unemployed,2,1,1,1
> 200,47,No credits/all paid,Domestic appliances,317,> 1000,> 7,1,Female,Guarantor,3,Real estate,31,No,Own,2,Unemployed,1,1,1,0
< 0,62,All paid,Retraining,10038,Unknown/None,< 1,2,Male,Co-applicant,1,Savings agreement/life insurance,25,Bank,Own,3,Unskilled,1,1,0,1
0 - 200,52,Delay in paying,Others,5910,500 - 1000,4 - 7,2,Male,Co-applicant,3,Real estate,65,Bank,For free,3,Unskilled,1,0,0,1
> 200,64,Delay in paying,Retraining,4728,500 - 1000,Unemployed,1,Male,Guarantor,2,Unknown/None,31,No,For free,4,Highly skilled,2,1,0,1
0 - 200,20,Critical account,Car (new),8460,500 - 1000,1 - 4,1,Male,Co-applicant,2,Car or other,18,Stores,Rent,3,Unskilled,2,1,1,1
> 200,60,Delay in paying,Others,11172,> 1000,< 1,4,Male,Co-applicant,3,Real estate,33,No,Rent,1,Unemployed,2,0,0,1
0 - 200,58,Existing paid,Furniture/equipment,3771,Unknown/None,< 1,4,Male,Co-applicant,1,Unknown/None,35,No,For free,2,Skilled,2,0,0,1
< 0,50,No credits/all paid,Retraining,822,< 100,< 1,3,Female,Co-applicant,1,Car or other,24,Stores,Rent,2,Skilled,2,0,1,1
No,15,Critical account,Others,7332,100 - 500,4 - 7,3,Female,Co-applicant,2,Savings agreement/life insurance,32,No,Own,2,Unskilled,1,0,0,1
< 0,65,Existing paid,Car (used),5645,< 100,Unemployed,1,Female,Co-applicant,1,Real estate,41,No,Own,4,Unskilled,2,1,1,1
No,11,All paid,Radio/television,15657,> 1000,> 7,3,Male,Co-applicant,3,Car or other,66,No,For free,4,Unemployed,1,1,0,0
0 - 200,24,No credits/all paid,Radio/television,11344,500 - 1000,Unemployed,2,Female,Co-applicant,4,Car or other,68,Bank,Own,3,Skilled,1,0,0,1
> 200,28,Delay in paying,Car (used),900,100 - 500,4 - 7,1,Male,Co-applicant,3,Car or other,72,Bank,For free,2,Highly skilled,1,0,0,0
< 0,15,No credits/all paid,Furniture/equipment,5991,> 1000,< 1,1,Female,No,2,Car or other,30,Bank,Own,2,Highly skilled,2,1,0,1
No,18,All paid,Furniture/equipment,13531,> 1000,1 - 4,2,Male,No,2,Real estate,26,No,For free,2,Unskilled,2,1,0,0
< 0,62,Critical account,Car (new),7088,> 1000,< 1,4,Female,Co-applicant,2,Car or other,73,Stores,Own,2,Highly skilled,2,1,1,1
